label,ComplementNB_pred,overall,summary,text_preview
Negative,Positive,2.0,Two Stars,Two Stars. Placing on lower oven rack as recommended did affect our baking time. Although great on the grill.
Positive,Negative,4.0,I loved it while it worked,I loved it while it worked. I had my ice maker for about a month and a half.  Now it quit making ice.  The water does not go in and the fan doesn't turn on.  Wh
Neutral,Positive,3.0,Works but not the same as the oem timer.,Works but not the same as the oem timer.. The part was easy to replace but it does not work quite like the oem versions. This will get your freeze defrosting ag
Positive,Neutral,4.0,Good Repair Kit,"Good Repair Kit. The repair of the rack went well, although it is extremely time consuming depending on the condition of your rack.  Mine had many places where "
Positive,Negative,5.0,Great little twin tub portable washing machine!,"Great little twin tub portable washing machine!. <div id=""video-block-R2QU1L52EF6H2O"" class=""a-section a-spacing-small a-spacing-top-mini video-block""></div><in"
Positive,Negative,5.0,Does what it's supposed to do,"Does what it's supposed to do. I don't know what all to write here, but this evenly distributes water in my whole house humidifier.  I replace it every 2-3 year"
Positive,Negative,5.0,it's perfect..,"it's perfect... Tried it, now one month later, it's perfect...saves buying a dishwasher. Anxious to see how long it will last."
Positive,Negative,5.0,A simple repair for broken agitator dogs,"A simple repair for broken agitator dogs. NOTE: There are some reviews of this product that state that they received inferior, generic parts.  The parts I recei"
Positive,Negative,5.0,"this is a standard 18"" dishwasher.. i think ...","this is a standard 18"" dishwasher.. i think .... this is a standard 18"" dishwasher .. i think the vast majority of them are the same (maybe even same manufactur"
Positive,Negative,5.0,I am amazed that something as common as this is not a ...,I am amazed that something as common as this is not a .... I am amazed that something as common as this is not a universal size. Bought two at Home Depot nbefor
Negative,Neutral,1.0,Lead compliant? Unsure.,Lead compliant? Unsure.. I recently ordered this because the Q&A states hat it removes lead. There is NOTHING on the packaging or product that states this. Save
Positive,Negative,5.0,We're good for another 10 years now,"We're good for another 10 years now. After 10+ years, the original basket was brittle and actually broken in places. We're good for another 10 years now."
Positive,Negative,5.0,Some advice on cookware,Some advice on cookware. I have had this stove for a few months and love it.  I was so disappointed to have to go from gas to anything other than gas and induct
Positive,Neutral,4.0,Four Stars,Four Stars. OK
Positive,Negative,5.0,This item did not work . I need to return,"This item did not work . I need to return. This item did not work please I need a refund.
Thank you"
Neutral,Negative,3.0,Cheap valve will work for two years tops,"Cheap valve will work for two years tops. Does what it supposed to do, but I seem to burn through these valves every two years. DO NOT run 5 gallons of water th"
Neutral,Positive,3.0,not really the right one,not really the right one. there is a small gap between the dryer top vent and  the top of filter screen handle but  it beats a blank and serves the purpose for 
Positive,Negative,4.0,Very Good Replacement Wick Filter,Very Good Replacement Wick Filter. These are not the same as the original Kenmore filter but they work just as well. They feel a bit less durable but once they 
Negative,Positive,2.0,Works great. Just not for long.,"Works great. Just not for long.. Product works, but be prepared to buy a new one every couple of years. Purchased 03/05/15 - DOA 11/16/16."
Positive,Negative,4.0,good seller,good seller. We received our first hood and it was damaged. I contacted the seller by email and with no questions we were sent another Main unit.  This is good 
Neutral,Positive,3.0,Three Stars,Three Stars. It is working great but wouldn't give it any higher than a three because it is still new.
Neutral,Negative,3.0,Works but it's EXPENSIVE!!,Works but it's EXPENSIVE!!. We bought this when we lived in an apartment. We couldn't buy a water softener because we had no where to put one. Installation was 
Neutral,Negative,3.0,didn't last as long as I thought it would,didn't last as long as I thought it would. Bought these as replacement filters work great but the original lasted longer than the replacement filters. The fikte
Positive,Neutral,5.0,Great,Great. Does what it advertises.
Neutral,Negative,3.0,Not good,"Not good. On time,product as a discribe but after a week stop working."
Positive,Negative,4.0,I haven't used it as of yet. waiting to ...,"I haven't used it as of yet. waiting to .... I haven't used it as of yet.  waiting to put my heat on, which is very drying and using it then.....I will be sure "
Neutral,Negative,3.0,I am pleased with the price,"I am pleased with the price. I have used these filters for several years. I am pleased with the price, but I am not pleased at all with the shipping/delivery.  "
Neutral,Negative,3.0,plastic could be more sturdy.,"plastic could be more sturdy.. Slightly flimsy, plastic could be more sturdy."
Positive,Neutral,4.0,Very flimsy but they will serve my purpose for them ...,Very flimsy but they will serve my purpose for them .... Very flimsy but they will serve my purpose for them. I'm using them to cover burners on an outdoor kitc
Neutral,Negative,3.0,A little disappointed,A little disappointed. Thought it would stick to the stovetop better.theres a little wrinkle in it and everytime I wipe down stovetop it moves out of place. but
Positive,Negative,4.0,Good Washer Drain Pump,Good Washer Drain Pump. This washer drain pump does its job well at half the price of what the dealer wanted and I installed it myself and save lots of labor co
Neutral,Negative,3.0,Nice Product Just Didn Fit My Refrig,"Nice Product Just Didn Fit My Refrig. Didnt fit, so had to return."
Positive,Negative,5.0,Dont buy the knock offs there not made for a ge fridge,"Dont buy the knock offs there not made for a ge fridge. AweSome fits the frigerator great, unlike the knockoffa they fit but are loose and don't work properly. "
Positive,Neutral,4.0,Broan Range Hood,Broan Range Hood. This product is sleek and quiet.  The only thing I didn't like is the old halogen bulbs use to go high/med/low and new LED bulb while brighter
Positive,Negative,5.0,Worth The Premium Price!,"Worth The Premium Price!. Far better than the generic equivalent from a major home center (H*me D*pot).  Its twice the price, yet the flow rate is SO much bette"
Neutral,Negative,3.0,Made Cheap Sold Expensive,Made Cheap Sold Expensive. Expensive but not available elsewhere online any cheaper. Next time I'll try looking at junk yards with old fridges.
Positive,Negative,5.0,Adrian Gomez,Adrian Gomez. Muy buen producto
Neutral,Negative,3.0,"My dogs didn't like this toy, not sure why?","My dogs didn't like this toy, not sure why?. I thought my dogs would love this toy but they had no interest in it. I think it may be the latex. The toy is reall"
Positive,Neutral,4.0,Good product needs filter,Good product needs filter. Wish it had built in air purifier/ cover. This thing still puts out dust.
Positive,Neutral,5.0,good and solid dryer,"good and solid dryer. I purchased this dryer from abc warehouse, not amizon because of cost for shipping, but its the same dryer anyway. so I am going to cover "
Positive,Neutral,4.0,RV Thermometer,RV Thermometer. When the sensor and the thermometer are side by side there is a one degree difference in the readings. When the thermometer is mounted over the 
Neutral,Negative,3.0,Time consuming,"Time consuming. Uniform sized and thickness; however, take too long (over three hours) to make a batch, especially if one has a moderate sized party to plan."
Neutral,Positive,3.0,These Filters Serve the Purpose,"These Filters Serve the Purpose. These filters fit the bill as lower-cost substitutes for the brand-name filters. They seem to work satisfactorily, although I t"
