label,GradientBoosting_pred,overall,summary,text_preview
Negative,Positive,1.0,Either a bad filter or a bad product,Either a bad filter or a bad product. The filter worked great for about 3 weeks but now its causing my water line to jam and the motor to make awful grinding no
Neutral,Positive,3.0,Is this OEM?,Is this OEM?. This is review for specific vendor not necessarily for the part. The part pictured on the Amazon page for this vendor showed the OEM part with OEM
Neutral,Positive,3.0,Do the trick but expensive.,Do the trick but expensive.. Work as advertised but very pricy.
Negative,Positive,1.0,bad..stopped working in 2 wks,"bad..stopped working in 2 wks. I would not recommend. Worked great for about 12 days then starting making a lot of noise then stopped making ice.
Bright spot:  "
Neutral,Positive,3.0,Works greet.,Works greet.. very happy with my purchase. Only complaint I have is that it was dented on the bottom of left side.
Negative,Positive,1.0,Leaks,Leaks. Leaks from the bottom. Installed correctly and nothing clogged. Would return but I'm sure shipping will be a nightmare. Definitely would not recommend.
Positive,Neutral,4.0,Four Stars,"Four Stars. Didn't need it, returned"
Positive,Negative,5.0,WOULD BUY AGAIN,WOULD BUY AGAIN. WOULD BUY AGAIN
Neutral,Negative,3.0,Three Stars,"Three Stars. Disappointed in these filters, they hardly last a month and start falling apart."
Negative,Positive,1.0,Not like the original,"Not like the original. After installation, this part sags in the middle and does not support the vegetable bins. Save your money and buy the original."
Neutral,Positive,3.0,ice maker,"ice maker. Works well but does take a lot longer than expected. About an hour for a decent amount of ice. Didn't realize it took so long to make ice, I was thin"
Positive,Neutral,4.0,OK by me,OK by me. All monitors seem to read differently. but I do like this one
Negative,Positive,2.0,Not good,"Not good. Very flimsy - almost as thin as aluminum foil. The dimensions are not big enough to cover a burner, so I end up still having to clean a lot of fallen "
Neutral,Negative,3.0,"You get what you pay for, readers inaccurate","You get what you pay for, readers inaccurate. i ordered three of them and put them all next to each other in the same room. each of them were way off from one a"
Neutral,Positive,3.0,Not Easy to Replace,Not Easy to Replace. Replacing my defective ice maker with this one was not quick and easy as I expected. The replacement wire harness connector did not seat co
Negative,Positive,1.0,not good,not good. This product came without a box.  After replacing filter the water flow is 1/10th of what it used to be and it makes a very high pitched squealing noi
Negative,Positive,2.0,More cream than wax. Greasy finish. Hold doesn't last. Smells too strong.,More cream than wax. Greasy finish. Hold doesn't last. Smells too strong.. I thought it was supposed to be a wax product but it's more of a cream and it finishe
Neutral,Positive,3.0,Three Stars,"Three Stars. Looks original, but is slightly under sized."
Positive,Negative,4.0,Drip Pro Hose End Timer,Drip Pro Hose End Timer. I purchased two of these mechanical timers for the 2011 gardening season and they have both worked out just fine.  The Drip Pro's don't
Negative,Positive,1.0,This is just the cover that goes on the front ...,"This is just the cover that goes on the front .... This is just the cover that goes on the front of the machine, the electronic components are NOT included."
Positive,Negative,5.0,dishwasher sign,dishwasher sign. Have used this item for atleast 9 years so everyone in the family is aware of the status of the dishwasher.  It broke - and wanted another one.
Positive,Negative,5.0,Quality line,"Quality line. This comes with both parts of the compression valve. The inner part is impregnated into the plastic line, so you CANNOT make it a custom length."
Negative,Positive,2.0,works well,"works well. This would get 4 stars, except the price is ridiculous. I bought this exact same one at Home Depot for $99. The only things i don't like about it, i"
Neutral,Positive,3.0,Three Stars,Three Stars. Great works the same as the LG
Positive,Neutral,4.0,it works fine. its an ok,it works fine. its an ok. it was not frosted. I thought the bulb was frosted. it works fine. its an ok color
Neutral,Positive,3.0,Don't work well for our compactor.,Don't work well for our compactor.. The bags themselves ate sturdy and do the job. But because they do not have the holes to slip over the compactor's connector
Negative,Positive,1.0,Not a Kenmore 14906 filter,"Not a Kenmore 14906 filter. This is not a Kenmore 14906 filter, its a lot thinner. I bought two but will not buy it again."
Positive,Negative,5.0,Recommend!,Recommend!. Have had it in for about 2 months. They work just like the LG brand but way less expensive. Worth it to not buy brand name.
Neutral,Positive,3.0,Three Stars,Three Stars. Got almost burned like after a couple months. The screen part started coming undone and plastic started cracking.
Positive,Negative,5.0,I broke mine by mistake and was so happy to get the same one in only two days,I broke mine by mistake and was so happy to get the same one in only two days. I broke mine by mistake and was so happy to get the same one  in only two days. L
Neutral,Positive,3.0,Filters,Filters. I needed replacement filters.  The black tends to unravel.
Negative,Positive,2.0,Two Stars,Two Stars. Had dent in ice section of door
Neutral,Positive,3.0,Should have know better given the price point,Should have know better given the price point. The blower motor is very noisy. Return was very simple with no issues. Should have know better given the price po
Negative,Positive,2.0,Two Stars,Two Stars. The box was open when i received it.
Neutral,Negative,3.0,this is ok,"this is ok. I recieved this in a timely manner...I had one issue, and won't go into it, but the seller more than compensated me.  I give this a 3 star as the fi"
Neutral,Negative,3.0,This product fit my cook-top but the numbers didn't line ...,This product fit my cook-top but the numbers didn't line .... This product fit my cook-top but the numbers didn't line up correctly with mine.  I had to pay to 
Neutral,Positive,3.0,Soy milk maker,Soy milk maker. The product works well but there are some minor problems. Having the heater in the base is not an improvement.  The design requires another elec
Neutral,Negative,3.0,Smart+ Kegerator,Smart+ Kegerator. I have had this kegerator for about 2 weeks now. It is set on the lowest setting and My thermometer shows 37 degrees which is not as cold as t
Neutral,Positive,3.0,Glad to get this on Amazon,"Glad to get this on Amazon. Poor quality cheaply made selector switches on these are guaranteed to fail even with light duty residential use.
Issue has existed "
Negative,Positive,2.0,Two Stars,Two Stars. DIDNT LAST
Negative,Positive,1.0,but not satisfied.,"but not satisfied.. Its supposed to be 36"" wide.  The one I got was 34.5"" wide.  My contractor had to make a trim piece to make up the difference.  Not sure wha"
Negative,Positive,2.0,Filter works and fits as advertised. Serious doubts as to its actual filtering abilities.,"Filter works and fits as advertised. Serious doubts as to its actual filtering abilities.. Filter works and fits my refrigerator, as advertised. However, I stro"
Neutral,Negative,3.0,Doesn't last 2 months if used all the time,"Doesn't last 2 months if used all the time. I used one of these for about 3-4 weeks and noticed considerable white dust.  The dust doesn't settle on everything,"
Negative,Positive,1.0,Do not buy this product once it is wet it ...,Do not buy this product once it is wet it .... Do not buy this product once it is wet it sags and falls apart.  It is not a replacement for a Kenmore filter.
Positive,Neutral,4.0,It works fine.,"It works fine.. Ok for the price.  The regulator is cheap, hard to control the pressure but it does work.  The Sankey taps don't have a pressure relief valve as"
