label,MLP_pred,overall,summary,text_preview
Positive,Negative,5.0,I broke mine by mistake and was so happy to get the same one in only two days,I broke mine by mistake and was so happy to get the same one in only two days. I broke mine by mistake and was so happy to get the same one  in only two days. L
Neutral,Positive,3.0,Filters,Filters. I needed replacement filters.  The black tends to unravel.
Negative,Positive,2.0,Two Stars,Two Stars. Had dent in ice section of door
Neutral,Positive,3.0,Should have know better given the price point,Should have know better given the price point. The blower motor is very noisy. Return was very simple with no issues. Should have know better given the price po
Positive,Neutral,4.0,Slightly Larger Than It Should Be,Slightly Larger Than It Should Be. But it appears to be working.
Negative,Positive,2.0,Two Stars,Two Stars. The box was open when i received it.
Neutral,Negative,3.0,this is ok,"this is ok. I recieved this in a timely manner...I had one issue, and won't go into it, but the seller more than compensated me.  I give this a 3 star as the fi"
Neutral,Negative,3.0,This product fit my cook-top but the numbers didn't line ...,This product fit my cook-top but the numbers didn't line .... This product fit my cook-top but the numbers didn't line up correctly with mine.  I had to pay to 
Positive,Negative,5.0,Return with amazon was easy and painless,Return with amazon was easy and painless. 2nd unit arrived with loose parts inside but the glass was not broken as my 1st unit.  Return with amazon was easy and
Neutral,Positive,3.0,Glad to get this on Amazon,"Glad to get this on Amazon. Poor quality cheaply made selector switches on these are guaranteed to fail even with light duty residential use.
Issue has existed "
Negative,Positive,2.0,Two Stars,Two Stars. DIDNT LAST
Negative,Positive,1.0,but not satisfied.,"but not satisfied.. Its supposed to be 36"" wide.  The one I got was 34.5"" wide.  My contractor had to make a trim piece to make up the difference.  Not sure wha"
Negative,Positive,2.0,Filter works and fits as advertised. Serious doubts as to its actual filtering abilities.,"Filter works and fits as advertised. Serious doubts as to its actual filtering abilities.. Filter works and fits my refrigerator, as advertised. However, I stro"
Neutral,Negative,3.0,Doesn't last 2 months if used all the time,"Doesn't last 2 months if used all the time. I used one of these for about 3-4 weeks and noticed considerable white dust.  The dust doesn't settle on everything,"
Positive,Neutral,4.0,It works fine.,"It works fine.. Ok for the price.  The regulator is cheap, hard to control the pressure but it does work.  The Sankey taps don't have a pressure relief valve as"
Neutral,Positive,3.0,2nd try was a success,"2nd try was a success. first fridge door wouldn't close properly, but i called amazon they replaced my fridge next day and this one works great. keeps all my be"
Positive,Negative,4.0,"Not OEM, but pretty good","Not OEM, but pretty good. It's not the same as the original, but since the original was junk, I won't hold that against it.  I am giving just 4 stars because th"
Negative,Positive,1.0,DO NOT BUY,DO NOT BUY. Crap. Foil would have done a better job and would not have caught on FIRE! DO NOT BUY! Looks nothing like picture
Neutral,Positive,3.0,Good dishwasher status display!,Good dishwasher status display!. Nice little magnet for displaying status of dishes in dishwasher. Side the panel left to right to display clean or dirty. It's 
Neutral,Positive,3.0,Three Stars,Three Stars. ... but I wish it were freeze-proof.
Negative,Neutral,1.0,"dry need 3 hours too slow, and the cost ...","dry need 3 hours too slow, and the cost .... dry need 3 hours too slow, and the cost use electricity expensive, i want to return it but packing have throw and i"
Neutral,Positive,3.0,"It seems of good quality, but I cannot review it on the ...","It seems of good quality, but I cannot review it on the .... It seems of good quality, but I cannot review it on the quality of its operation because it was the"
Negative,Positive,1.0,Yuck!,Yuck!. Does NOT filter our water at all!
Negative,Positive,1.0,Too bad but we need to spend the big bucks for ...,Too bad but we need to spend the big bucks for .... Do not buy. We put two on the fridge and both leaked. Paid $59 for a GE and it worked per spec. Too bad but 
Negative,Positive,1.0,Works great but overpriced and GE is heavy-handed in making you buy their filter,Works great but overpriced and GE is heavy-handed in making you buy their filter. I'd give it 5-stars for function and form. It's easy to install and the water 
Neutral,Positive,3.0,Could Use Vertical Splines but None,Could Use Vertical Splines but None. Would be better if it had splines that were vertical so glasses would stay in place.
Neutral,Positive,3.0,Great at first,"Great at first. Great item, however did not last as it didn't stick in place for long. Disappointing."
Neutral,Negative,3.0,Three Stars,Three Stars. Worked for 2 weeks then failed.  Had to replace again.
Negative,Positive,1.0,the chrome finish is dull and lifeless,the chrome finish is dull and lifeless. I am totally upset with what I have received. I have one of this dish rack I bought it 8 years ago from euro maid brand.
Negative,Neutral,2.0,Product looked like picture displayed and works,"Product looked like picture displayed and works. Product looked like picture displayed and works. However, it was damaged when received which is disappointing. "
Positive,Neutral,4.0,OK,"OK. As expected, but more expensive than Wal-Mart, if it is in stock"
Negative,Positive,1.0,Clogging the water line from the fridge.,Clogging the water line from the fridge.. Clogging the water line from the fridge.
Positive,Negative,5.0,This is a well made part.,This is a well made part.. I did not use this product but the quality is there.  And I have another spare part.
Neutral,Positive,3.0,Form over function,Form over function. Came with the house as part of the appliance package. I've generally been impressed with Bosch products but this thing fails so fundamentall
Neutral,Negative,3.0,Unsatisfied,Unsatisfied. It did not last as long as expected.  The specifications noted about this product lasting for at least 3 month would probably have been true except
Positive,Negative,5.0,I like to buy quality but I was skeptical when I ...,"I like to buy quality but I was skeptical when I .... This washer delivers EVERYTHING ""Made in the USA"" used to mean.  It's the washer you may never have to rep"
Neutral,Positive,3.0,"Ice maker is noisy, and cubes in basket must ...","Ice maker is noisy, and cubes in basket must .... Ice maker is noisy, and cubes in basket must be drained of excess water before emptying into storage bin in fr"
Neutral,Positive,3.0,Three Stars,Three Stars. Very large
Positive,Negative,5.0,I really hope this one isn't abused like the last two,I really hope this one isn't abused like the last two. My kiddo keeps breaking this one specific shelf. When she was very little she tried to use it to climb in
Positive,Negative,5.0,Refrigerator Under Control,"Refrigerator Under Control. Not being a refrigerator repair man, I did not realize there was a set screw to adjust temperature. I adjusted the knob to midway se"
Negative,Positive,2.0,Buy yourself a nice lunch instead.,"Buy yourself a nice lunch instead.. Pros:
- Gives slight curls to already dry hair

Cons:
- pulls hair
- bristles lose shape quickly
- takes FOREVER to dry hair"
Neutral,Positive,3.0,Good looking hood,Good looking hood. Good looking hood. Pretty quiet really. Not as powerful as described. Hardware supplied for the wall mount was lousy (definitely not strong e
Neutral,Negative,3.0,Not as cold as i want,Not as cold as i want. Description says 20-80'f range. On lowest setting of chest freezer and johnson control im only getting 35'f
Neutral,Positive,3.0,Great Idea,Great Idea. We tried this product because our exhaust to outside is approximately 40 feet.  The appliance technician measured the air flow from the dryer to the
Positive,Negative,5.0,Handy extra freezer.,"Handy extra freezer.. Small, but large enough for 2 people."
